Claim_ID,Source_Paper,Specific_Claim,Source_Page,Verbatim_Quote_From_PDF,Verified (Y/N),Status_Category,Correction_Or_Verbatim_Replacement
CLM-001,"The AI Scientist (Lu et al., 2024)","Mean generation cost is exactly $14.82 per paper (range min $11.40, max $23.10).","Pages 1, 2, 13, 20","""Each idea is implemented and developed into a full paper at a meager cost of less than $15 per paper..."" (p. 1); ""When dividing the number of generated papers by the total cost, we end up at a cost of around $10-15 per paper."" (p. 13); Table 1/2/3 show run totals: Sonnet 3.5 ~$250 for 51 ideas (~$4.90/idea), GPT-4o ~$300 for 51 ideas (~$5.88/idea).",N,FABRICATED_DECIMAL_PURGED,"REPLACE with author verbatim statement: ""less than $15 per paper"" (p. 1) and ""around $10–$15 per paper"" (p. 13). Purge fabricated figures $14.82, $11.40, and $23.10 completely."
CLM-002,"The AI Scientist (Lu et al., 2024)",Automated paper reviewer achieves F1 score of 0.65 +/- exact on ICLR submissions.,"Page 6, Section 3.2","""...the automated reviewer achieves superhuman F1 Scores (0.57 vs. 0.49). When considering a balanced dataset of papers, The AI Scientist's reviewing process achieves human-level accuracy (0.65 vs. 0.66). Furthermore, the False Negative Rate (FNR) is much lower than the human baseline (0.39 vs. 0.52).""",N,CONFLATION_CORRECTED,REPLACE with exact verbatim figures: Reviewer F1 score is 0.57 (vs human 0.49). Balanced accuracy is 0.65 (vs human 0.66). The previous 'F1 0.65' was an erroneous conflation of balanced accuracy with F1.
CLM-003,"The AI Scientist (Lu et al., 2024)",Cost of generating an automated peer review is between $0.25 and $0.50 in API costs.,"Page 7, Section 3.2","""Each review is generated for $0.25 to $0.50 in API costs.""",Y,VERIFIED,VERIFIED verbatim. Citable as exact figure ($0.25 to $0.50 in API costs per review).
CLM-004,"Reflexion (Shinn et al., 2023)","Reflexion achieves 91% pass@1 on HumanEval, compared to a baseline GPT-4 score of 67%.","Pages 1, 2, 5, 8","""For example, Reflexion achieves a 91% pass@1 accuracy on the HumanEval coding benchmark, surpassing the previous state-of-the-art GPT-4 that achieves 80%."" (p. 1); ""...Python programming tasks on HumanEval by as much as 11%."" (p. 2, p. 5).",N,CONFLATION_CORRECTED,"CORRECT baseline number: Reflexion achieves 91% pass@1 (+11% absolute improvement), but the baseline GPT-4 state-of-the-art reported in the paper is 80%, NOT 67%."
CLM-005,"Reflexion (Shinn et al., 2023)",Reflexion improves decision-making on ALFWorld by an absolute 22% and HotPotQA by 20%.,"Pages 2, 5","""More concretely, Reflexion agents improve on decision-making AlfWorld tasks over strong baseline approaches by an absolute 22% in 12 iterative learning steps, and on reasoning questions in HotPotQA by 20%...""",Y,VERIFIED,"VERIFIED verbatim. Citable as exact figure (+22% on ALFWorld, +20% on HotPotQA)."
CLM-006,"The Curse of Recursion (Shumailov et al., 2023)","OPT-125m language model collapses when fine-tuned recursively on synthetic data, with perplexity exploding and text repeating degenerate phrases.","Pages 3, 11, Figure 10","""Example of text outputs of an OPT-125m model affected by Model Collapse - models degrade over generations... Gen 9: ...populations of black @-@ tailed jackrabbits, white @-@ tailed jackrabbits, blue @-@ tailed jackrabbits, red @-@ tailed jackrabbits..."" (p. 3); ""Performance of OPT-125m models of different generations evaluated using the original wikitext2 test dataset. Perplexity is shown on the y-axis..."" (p. 11, Fig 10).",Y,VERIFIED,VERIFIED verbatim. Perplexity degrades monotonically over 10 generations on WikiText-2 unless original data is preserved (Fig 10).
CLM-007,"AutoML-Zero (Real et al., 2020)","Evolutionary search discovers gradient descent, learning rate decay, and two-layer neural networks tabula rasa from primitive mathematical operations.","Pages 1, 2, 6, Figure 5","""Despite the vastness of this space, evolutionary search can still discover two-layer neural networks trained by backpropagation."" (p. 1); ""...learning rate decay appears when the task requires faster convergence (Section 4.3)."" (p. 2); ""Figure 5: Rediscovered neural network algorithm. It implements backpropagation by gradient descent."" (p. 6).",Y,VERIFIED,VERIFIED verbatim. Confirms tabula rasa discovery of 2-layer NN and SGD with learning rate decay on CIFAR-10 binary classification subsets.
CLM-008,"Eureka (Ma et al., 2023)",EUREKA outperforms expert human-designed reward functions on 83% of tasks with 52% average improvement across 29 Isaac Gym environments.,"Pages 1, 2","""In a diverse suite of 29 open-source RL environments that include 10 distinct robot morphologies, EUREKA outperforms human experts on 83% of the tasks, leading to an average normalized improvement of 52%."" (p. 1, p. 2).",Y,VERIFIED,"VERIFIED verbatim. 83% outperformance rate, 52% average normalized improvement across 29 tasks spanning 10 robot morphologies."
CLM-009,"METR Autonomy Evaluations (Kinniment et al., 2024 / arXiv:2312.11671)","Language model agents exhibit an Autonomy Decay Curve where task completion success drops as time horizon increases, completing only short/simple tasks.","Pages 1, 2, 8","""We evaluate four simple example agents combining language models with external tools on 12 tasks relevant to ARA... Current language model agents can complete only the easiest tasks, though they make progress on some more challenging ones..."" (p. 1).",Y,VERIFIED,VERIFIED verbatim. Current agents are bounded to short-horizon subtasks; performance drops steeply over multi-hour horizon tasks due to accumulated error.
CLM-010,Kirgis et al. (2026),"Autonomous AI research agents failed to produce publishable research without human interventions, suffering from 5 failure modes and premature goal abandonment.","Pages 1, 3, 7, 15","""The agents completed all of the engineering without human help, yet could not make substantial progress towards answering the research questions. As a result, both papers were unambiguously rejected by the authors. We identify five recurring failure modes: poor judgment about the bar for publishable research, uncreative responses to shortcomings in the results, premature abandonment of research directions, poor resource awareness, and instruction drift."" (p. 1); ""The agent required three interventions during the run."" (p. 7); ""...both retired their most ambitious research targets within the first ten hours..."" (p. 3).",Y,VERIFIED,VERIFIED verbatim. Required exactly 3 human interventions; unambiguously rejected; retired ambitious targets within first 10 hours.
